"new_code","old_code"
"AB","BS"
"AB","BT"
"AH","AH"
"AS","AS"
"AS","GS"
"BA","BA"
"CB","CW"
"CM","LB"
"CQ","SQ"
"CS","CS"
"CT","CT"
"CU","CU"
"CV","CV"
"DM","DM"
"DO","DO"
"DO","D0"
"DS","DS"
"DX","D"
"DX","D?"
"DX","DU"
"DX","DZ"
"DX","UD"
"EO","EO"
"GS","GS"
"NA","NA"
"NX","N"
"OL","OL"
"OT","OT"
"OX","O"
"OX","OZ"
"PB","PB"
"PC","GT"
"PC","US"
"PE","PE"
"PF","PF"
"PG","VS"
"PH","PH"
"PI","CI"
"PI","PI"
"PL","PL"
"PM","PM"
"PP","PP"
"PP","CP"
"PU","BR"
"PU","TB"
"PX","PX"
"PX","UP"
"RF","RF"
"RM","RM"
"RO","RO"
"RX","RE"
"RX","RX"
"SA","SA"
"SB","BS"
"SC","SC"
"SF","SF"
"SH","SH"
"SO","SO"
"SO","S0"
"SS","SS"
"ST","ST"
"SU","SU"
"SX","SX"
"UL","UL"
"UL","LI"
"UL","LS"
"UP","T"
"UP","TO"
"UR","P"
"UR","QQ"
"UR","UR"
"US","US"
"XX","XX"
"ZL","WC"
"ZM","MD"
"ZM","M"
